"Tournament";"Location";"Date"
"Adelaide International 1";"Adelaide";2022-01-03
"Melbourne Summer Set";"Melbourne";2022-01-04
"Adelaide International 2";"Adelaide";2022-01-10
"Sydney Tennis Classic";"Sydney";2022-01-10
"Australian Open";"Melbourne";2022-01-17
"Cordoba Open";"Cordoba";2022-01-31
"Maharashtra Open";"Pune";2022-01-31
"Open Sud de France";"Montpellier";2022-01-31
"ABN AMRO World Tennis Tournament";"Rotterdam";2022-02-07
"Argentina Open";"Buenos Aires";2022-02-07
"Dallas Open";"Dallas";2022-02-07
"Delray Beach Open";"Delray Beach";2022-02-14
"Open 13";"Marseille";2022-02-14
"Qatar Exxon Mobil Open";"Doha";2022-02-14
"Rio Open";"Rio de Janeiro";2022-02-14
"Chile Open";"Santiago";2022-02-21
"Dubai Tennis Championships";"Dubai";2022-02-21
"Abierto Mexicano";"Acapulco";2022-02-22
"BNP Paribas Open";"Indian Wells";2022-03-10
"Miami Open";"Miami";2022-03-23
"Grand Prix Hassan II";"Marrakech";2022-04-05
"U.S. Men's Clay Court Championships";"Houston";2022-04-05
"Monte Carlo Masters";"Monte Carlo";2022-04-10
"Barcelona Open";"Barcelona";2022-04-18
"Serbia Open";"Belgrade";2022-04-18
"BMW Open";"Munich";2022-04-25
"Millennium Estoril Open";"Estoril";2022-04-25
"Mutua Madrid Open";"Madrid";2022-05-01
"Internazionali BNL d'Italia";"Rome";2022-05-08
"Geneva Open";"Geneva";2022-05-15
"Lyon Open";"Lyon";2022-05-15
"French Open";"Paris";2022-05-22
"Mercedes Cup";"Stuttgart";2022-06-06
"Rosmalen Grass Court Championships";"'s-Hertogenbosch";2022-06-06
"Halle Open";"Halle";2022-06-13
"Queen's Club Championships";"Queens Club";2022-06-13
"Mallorca Championships";"Mallorca";2022-06-19
"Eastbourne International";"Eastbourne";2022-06-20
"Wimbledon";"London";2022-06-27
"Hall of Fame Championships";"Newport";2022-07-11
"Nordea Open";"Bastad";2022-07-11
"European Open";"Hamburg";2022-07-18
"Suisse Open Gstaad";"Gstaad";2022-07-18
"Atlanta Open";"Atlanta";2022-07-25
"Croatia Open";"Umag";2022-07-25
"Generali Open";"Kitzbuhel";2022-07-25
"Citi Open";"Washington";2022-08-01
"Los Cabos Open";"Los Cabos";2022-08-02
"Canadian Open";"Montreal";2022-08-08
"Western & Southern Financial Group Masters";"Cincinnati";2022-08-14
"Winston-Salem Open at Wake Forest University";"Winston-Salem";2022-08-21
"US Open";"New York";2022-08-29
"Open de Moselle";"Metz";2022-09-19
"San Diego Open";"San Diego";2022-09-19
"Korea Open";"Seoul";2022-09-26
"Sofia Open";"Sofia";2022-09-26
"Tel Aviv Open";"Tel Aviv";2022-09-26
"Astana Open";"Nur-Sultan";2022-10-03
"Rakuten Japan Open Tennis Championships";"Tokyo";2022-10-03
"Firenze Open";"Florence";2022-10-10
"Gijon Open";"Gijon";2022-10-10
"European Open";"Antwerp";2022-10-17
"Stockholm Open";"Stockholm";2022-10-17
"Napoli Cup";"Napoli";2022-10-18
"Swiss Indoors";"Basel";2022-10-24
"Vienna Open";"Vienna";2022-10-24
"BNP Paribas Masters";"Paris";2022-10-31
"Masters Cup";"Turin";2022-11-13
