"tourney_name";"tourney_date"
"Atp Cup";2022-01-03
"Adelaide 1";2022-01-03
"Melbourne";2022-01-03
"Adelaide 2";2022-01-10
"Sydney";2022-01-10
"Australian Open";2022-01-17
"Cordoba";2022-01-31
"Montpellier";2022-01-31
"Pune";2022-01-31
"Buenos Aires";2022-02-07
"Rotterdam";2022-02-07
"Dallas";2022-02-07
"Delray Beach";2022-02-14
"Doha";2022-02-14
"Rio de Janeiro";2022-02-14
"Marseille";2022-02-14
"Acapulco";2022-02-21
"Dubai";2022-02-21
"Santiago";2022-02-21
"Indian Wells Masters";2022-03-07
"Miami Masters";2022-03-21
"Houston";2022-04-04
"Marrakech";2022-04-04
"Monte Carlo Masters";2022-04-11
"Barcelona";2022-04-18
"Belgrade ";2022-04-18
"Estoril";2022-04-25
"Munich";2022-04-25
"Madrid Masters";2022-05-02
"Rome Masters";2022-05-09
"Geneva";2022-05-16
"Lyon";2022-05-16
"Roland Garros";2022-05-23
"s Hertogenbosch";2022-06-06
"Stuttgart";2022-06-06
"Halle";2022-06-13
"Queen's Club";2022-06-13
"Mallorca";2022-06-20
"Eastbourne";2022-06-20
"Wimbledon";2022-06-27
"Bastad";2022-07-11
"Newport";2022-07-11
"Hamburg";2022-07-18
"Gstaad";2022-07-18
"Atlanta";2022-07-25
"Kitzbuhel";2022-07-25
"Umag";2022-07-25
"Los Cabos";2022-08-01
"Washington";2022-08-01
"Canada Masters";2022-08-08
"Cincinnati Masters";2022-08-15
"Winston-Salem";2022-08-22
"Us Open";2022-08-29
"San Diego";2022-09-19
"Metz";2022-09-19
"Laver Cup";2022-09-23
"Seoul";2022-09-26
"Sofia";2022-09-26
"Tel Aviv";2022-09-26
"Astana";2022-10-03
"Tokyo";2022-10-03
"Florence";2022-10-10
"Gijon";2022-10-10
"Naples";2022-10-17
"Stockholm";2022-10-17
"Antwerp";2022-10-17
"Basel";2022-10-24
"Vienna";2022-10-24
"Paris Masters";2022-10-31
"NextGen Finals";2022-11-07
"Tour Finals";2022-11-14
